fullName,rating,jersey,team,bDay,height,weight,salary,country
Avery Bradley,76,11,Los Angeles Lakers,11/26/1990,191,195,6767000,USA
Malik Beasley,77,0,Minnesota Timberwolves,11/26/1996,193,198,2731713,USA
Wayne Ellington,75,2,New York Knicks,11/29/1987,193,200,8000000,USA
Julius Randle,83,30,New York Knicks,11/29/1994,203,250,18000000,USA
Grant Williams,72,12,Boston Celtics,11/30/1998,198,236,2379840,USA
Edmond Sumner,71,5,Indiana Pacers,12/13/1995,193,186,2000000,USA
Nicolas Batum,77,5,Charlotte Hornets,12/14/1988,206,210,25565217,France
Robert Covington,80,33,Houston Rockets,12/14/1990,201,209,11301219,USA
Lonnie Walker,73,1,San Antonio Spurs,12/14/1998,196,204,2764200,USA
Jahlil Okafor,76,8,New Orleans Pelicans,12/15/1995,208,270,1702486,USA
Buddy Hield,84,24,Sacramento Kings,12/17/1993,193,212,4861207,The Bahamas
Torrey Craig,74,3,Denver Nuggets,12/19/1990,201,215,2000000,USA
Wesley Iwundu,72,25,Orlando Magic,12/20/1994,198,205,1618520,USA
De'Aaron Fox,86,5,Sacramento Kings,12/20/1997,191,171,6392760,USA
Sekou Doumbouya,73,45,Detroit Pistons,12/23/2000,203,209,3285120,France
Eric Gordon,78,10,Houston Rockets,12/25/1988,191,215,14057730,USA
John Henson,75,31,Detroit Pistons,12/28/1990,206,220,9732396,USA
LeBron James,97,23,Los Angeles Lakers,12/30/1984,206,250,37436858,USA
