fullName,rating,jersey,team,bDay,height,weight,salary,country
Justise Winslow,78,0,Memphis Grizzlies,03/26/1996,198,222,13000000,USA
Jordan McRae,68,0,Detroit Pistons,03/28/1991,196,179,1254933,USA
Justin Jackson,74,44,Dallas Mavericks,03/28/1995,201,201,3280920,USA
Admiral Schofield,71,1,Washington Wizards,03/30/1997,196,241,1000000,USA
Frank Mason,71,15,Milwaukee Bucks,04/13/1994,180,190,79568,USA
Reggie Jackson,80,0,Los Angeles Clippers,04/16/1990,191,208,17799677,USA
Wendell Carter,78,34,Chicago Bulls,04/16/1999,206,259,5201400,USA
Nicolas Claxton,72,0,Brooklyn Nets,04/17/1990,211,215,898310,USA
Bojan Bogdanovic,83,44,Utah Jazz,04/18/1989,203,216,17000000,Croatia
Caleb Swanigan,70,50,Portland Trail Blazers,04/18/1997,206,249,2033160,USA
Kelly Olynyk,78,9,Miami Heat,04/19/1991,211,234,12667885,Canada
Jarrett Allen,79,31,Brooklyn Nets,04/20/1998,211,234,2376840,USA
Duncan Robinson,67,55,Miami Heat,04/22/1994,201,215,1416852,USA
Harry Giles,74,20,Sacramento Kings,04/22/1998,211,232,2578800,USA
Delon Wright,76,55,Dallas Mavericks,04/26/1992,196,181,9473684,USA
Chandler Hutchison,72,15,Chicago Bulls,04/26/1996,201,196,2332320,USA
Alize Johnson,70,24,Indiana Pacers,04/26/1996,201,201,1416852,USA
Moritz Wagner,71,21,Washington Wizards,04/26/1997,211,240,2063520,Germany
KZ Okpala,71,4,Miami Heat,04/28/1999,203,215,898310,USA
TJ Leaf,74,22,Indiana Pacers,04/30/1997,208,222,2813280,Israel
Ersan Ilyasova,76,7,Milwaukee Bucks,05/15/1987,206,235,7000000,Turkey
Terrance Ferguson,71,23,Oklahoma City Thunder,05/17/1998,198,184,2475840,USA
Clint Capela,85,15,Atlanta Hawks,05/18/1994,208,211,16896552,Switzerland
Raul Neto,72,19,Philadelphia 76ers,05/19/1992,185,170,1737145,Brazil
Enes Kanter,80,11,Boston Celtics,05/20/1992,208,262,4767000,Turkey
Lauri Markkanen,83,24,Chicago Bulls,05/22/1997,213,240,5300400,Finland
Jaxson Hayes,74,10,New Orleans Pelicans,05/23/2000,211,220,4862040,USA
Norman Powell,74,24,Toronto Raptors,05/25/1993,191,215,10116576,USA
Willy Hernangomez,76,9,Charlotte Hornets,05/27/1994,211,255,1676735,Spain
De'Anthony Melton,72,0,Memphis Grizzlies,05/28/1998,188,190,1416852,USA
Stanley Johnson,73,5,Toronto Raptors,05/29/1996,198,242,3623000,USA
Markelle Fultz,74,20,Orlando Magic,05/29/1998,191,195,9745200,USA
Harrison Barnes,79,40,Sacramento Kings,05/30/1992,203,210,24147727,USA
Jeremy Lamb,79,26,Indiana Pacers,05/30/1992,196,180,10500000,USA
Hassan Whiteside,81,21,Portland Trail Blazers,06/13/1989,213,235,27093018,USA
Jalen Lecque,68,0,Phoenix Suns,06/13/2000,191,190,898310,USA
RJ Barrett,78,9,New York Knicks,06/14/2000,198,202,7839960,Canada
Alex Len,77,0,Sacramento Kings,06/16/1993,213,225,4160000,Ukraine
Georges Niang,72,31,Utah Jazz,06/17/1993,201,230,1645357,USA
Jacob Evans,71,0,Minnesota Timberwolves,06/18/1997,193,210,1925880,USA
Marvin Williams,76,2,Milwaukee Bucks,06/19/1986,203,240,14654179,USA
Jordan Poole,70,3,Golden State Warriors,06/19/1999,193,194,1964760,USA
Thaddeus Young,79,21,Chicago Bulls,06/21/1988,203,220,12900000,USA
JaMychal Green,78,4,Los Angeles Clippers,06/21/1990,203,220,4767000,USA
Danny Green,77,14,Los Angeles Lakers,06/22/1987,198,209,14634147,USA
JJ Redick,80,4,New Orleans Pelicans,06/24/1984,191,190,13486300,USA
Taj Gibson,77,67,New York Knicks,06/24/1985,206,225,9000000,USA
Luke Kennard,75,5,Detroit Pistons,06/24/1996,196,196,3827160,USA
Jose Juan Barea,76,5,Dallas Mavericks,06/26/1984,178,175,2564753,Puerto Rico
Deonte Burton,70,30,Oklahoma City Thunder,06/26/1991,193,240,1416852,USA
Rudy Gobert,88,27,Utah Jazz,06/26/1992,216,238,25258427,France
Darius Garland,77,10,Cleveland Cavaliers,06/26/2000,185,175,6400920,USA
Monte Morris,77,11,Denver Nuggets,06/27/1995,188,175,1588231,USA
Furkan Korkmaz,73,30,Philadelphia 76ers,06/27/1997,201,185,1620564,Turkey
Bradley Beal,87,3,Washington Wizards,06/28/1993,191,207,27093018,USA
Kawhi Leonard,97,2,Los Angeles Clippers,06/29/1991,201,225,32742000,USA
Michael Porter,76,1,Denver Nuggets,06/29/1998,208,215,3389400,USA
Trevor Ariza,76,0,Portland Trail Blazers,06/30/1985,203,210,12200000,USA
Shabazz Napier,75,0,Washington Wizards,07/14/1991,183,175,1845301,USA
Damian Lillard,92,0,Portland Trail Blazers,07/15/1990,188,195,29802321,USA
Derrick Favors,80,22,New Orleans Pelicans,07/15/1991,206,246,17650000,USA
Troy Daniels,72,30,Denver Nuggets,07/15/1991,193,200,2487033,USA
Tobias Harris,85,12,Philadelphia 76ers,07/15/1992,203,226,32742000,USA
Luke Kornet,71,2,Chicago Bulls,07/15/1995,218,240,2250000,USA
Mike Scott,75,1,Philadelphia 76ers,07/16/1988,201,237,4767000,USA
OG Anunoby,73,3,Toronto Raptors,07/17/1997,201,232,2281800,United Kingdom
Thanasis Antetokounmpo,70,43,Milwaukee Bucks,07/18/1992,198,215,1445697,Greece
Bam Adebayo,79,13,Miami Heat,07/18/1997,206,243,3454080,USA
LaMarcus Aldridge,87,12,San Antonio Spurs,07/19/1985,211,246,26000000,USA
Dwight Powell,77,7,Dallas Mavericks,07/20/1991,208,234,10259375,Canada
Alec Burks,73,0,Philadelphia 76ers,07/20/1991,198,195,2320044,USA
Steven Adams,82,12,Oklahoma City Thunder,07/20/1993,211,255,25842697,New Zealand
Ben Simmons,87,25,Philadelphia 76ers,07/20/1996,208,240,8113929,Australia
Goga Bitadze,72,88,Indiana Pacers,07/20/1999,211,250,2816760,Georgia
DeAndre Jordan,81,6,Brooklyn Nets,07/21/1988,211,265,9881598,USA
Omari Spellman,73,0,Minnesota Timberwolves,07/21/1997,203,245,1897800,USA
Bryn Forbes,75,11,San Antonio Spurs,07/23/1993,188,187,2875000,USA
Deandre Ayton,82,22,Phoenix Suns,07/23/1998,211,250,9562920,The Bahamas
Kyle Kuzma,84,0,Los Angeles Lakers,07/24/1995,203,221,1974600,USA
Brad Wanamaker,73,9,Boston Celtics,07/25/1989,191,210,1445697,USA
DeMarre Carroll,77,0,Houston Rockets,07/27/1986,198,212,7339258,USA
Frank Ntilikina,73,11,New York Knicks,07/28/1998,193,190,4855800,France
Troy Brown,73,6,Washington Wizards,07/28/1999,198,215,3219480,USA
Rodney McGruder,72,19,Los Angeles Clippers,07/29/1991,193,205,4807693,USA
